repository,issue_number,title,html_url,state,relevance_score,labels,matched_fs_keywords,matched_perf_keywords,author,created_at,body_snippet
dask/dask,12060,Significant slowdown in loading remote xarray dataset since 2025.5.0,https://github.com/dask/dask/issues/12060,open,24,"needs attention, needs triage",gcsfs,"i/o, io, slow, stall",Metamess,2025-09-01T17:06:06Z,"**Describe the issue**: Calling `.load()` or `.compute()` on an xarray dataset created by concatenating and slicing zarr datasets from a cloud bucket has seen a severe (factor ~50) slowdown between dask 2025.4.1 and 2025.5.0. I have not been able to replicate this slowdown with zarrs stored locally,..."
dask/dask,12359,'cumsum' results differ from 'cumsum' on a pure numpy array,https://github.com/dask/dask/issues/12359,open,21,"array, needs attention, bug",mmap,"chunk_size, io, stall",muttener,2026-04-23T09:02:47Z,<!-- Please include a self-contained copy-pastable example that generates the issue if possible. Please be concise with code posted. See guidelines below on how to provide a good bug report: - Craft Minimal Bug Reports http://matthewrocklin.com/blog/work/2018/02/28/minimal-bug-reports - Minimal Comp...
dask/dask,11940,"to_parquet() throws ""ArrowInvalid: Invalid column index to set field.""",https://github.com/dask/dask/issues/11940,open,18,"needs attention, needs triage",filesystem,"io, stall",dbalabka,2025-05-09T10:16:24Z,"**Describe the issue**: When we writing data frame into parquet we face with the following issue: ``` File ~/src/.venv/lib/python3.11/site-packages/dask_expr/_collection.py:3331, in DataFrame.to_parquet(self, path, **kwargs) 3328 def to_parquet(self, path, **kwargs): 3329 from dask_expr.io.parquet i..."
pandas-dev/pandas,65915,BUG: Plotting with timezone-aware and normalized `DatetimeIndex` drops tz-info,https://github.com/pandas-dev/pandas/issues/65915,open,31,"Bug, Visualization, Needs Discussion","fsspec, gcsfs, s3fs","bottleneck, hang, io, stall, stalled",Julian-Harbeck,2026-06-20T02:57:28Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66615,BUG: Inconsistent date time handling with serialized data,https://github.com/pandas-dev/pandas/issues/66615,open,24,"Bug, Needs Triage","fsspec, gcsfs, s3fs","bottleneck, hang, i/o, io, stall, stalled",nanthony007,2026-08-04T02:48:38Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [ ] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66514,BUG: object of type 'list_iterator' has no len(),https://github.com/pandas-dev/pandas/issues/66514,open,21,"Bug, Needs Triage","fsspec, gcsfs, s3fs","bottleneck, hang, io, stall, stalled",loicdiridollou,2026-07-28T21:37:45Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66490,BUG: `factorize(use_na_sentinel=True)` ignores `use_na_sentinel` for pre-encoded PyArrow `DictionaryArray`s,https://github.com/pandas-dev/pandas/issues/66490,open,21,"Bug, Needs Triage","fsspec, gcsfs, s3fs","bottleneck, hang, io, stall, stalled",camriddell,2026-07-27T20:11:43Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,65892,BUG: Inconsistent nan to None behaviour in replace() with scalar vs list value,https://github.com/pandas-dev/pandas/issues/65892,open,21,"Bug, Missing-data, Strings, replace","fsspec, gcsfs, s3fs","bottleneck, hang, io, stall, stalled",veenstrajelmer,2026-06-16T14:36:31Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66608,BUG: `pandas.Timestamp.view` gives `DeprecationWarning` under `numpy >= 2.5`,https://github.com/pandas-dev/pandas/issues/66608,open,18,"Bug, Needs Triage","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",cmp0xff,2026-08-03T13:53:55Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66527,BUG: DataFrame.loc assignment with boolean column indexer raises NotImplementedError for single-column DataFrame,https://github.com/pandas-dev/pandas/issues/66527,open,18,"Bug, Needs Triage","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",kanade-ao,2026-07-29T06:42:14Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
